"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-13","0.42","0.0",,,"73","58",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-14","0.00","0.0",,,"73","55",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-15","0.00","0.0",,,"78","50",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-16","0.38","0.0",,,"79","62",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-17","0.00","0.0",,,"76","58",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-18","0.01","0.0",,,"70","54",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-19","0.00","0.0",,,"66","50",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-20","0.00","0.0",,,"74","52",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-21","0.00","0.0",,,"79","59",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-22","0.31","0.0",,,"81","63",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-23","0.00","0.0",,,"90","65",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-24","0.00","0.0","0.0",,"89","71",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-25","0.17","0.0",,,"84","69",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-26","0.00","0.0",,,"88","68",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-27","0.00","0.0",,,"76","65",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-28","0.64","0.0",,,"72","63",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-29","0.00","0.0",,,"75","62",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-06-30","0.00","0.0",,,"78","60",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-01","0.00","0.0",,,"75","61",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-02","0.00","0.0",,,"73","63",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-03","0.05","0.0",,,"80","64",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-04","0.13","0.0",,,"83","69",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-06","0.02","0.0",,,"84","66",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-07","1.05","0.0",,,"82","69",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-08","4.96","0.0",,,"84","67",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-09","0.02","0.0",,,"78","68",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-07-11","0.00","0.0",,,"78","60",,
